FIPStxt,Stabr,area_name,Median_Household_Income_2018
17069,IL,"Hardin County, IL","41,713"
17071,IL,"Henderson County, IL","53,632"
17073,IL,"Henry County, IL","58,042"
17075,IL,"Iroquois County, IL","55,247"
17077,IL,"Jackson County, IL","41,445"
17079,IL,"Jasper County, IL","54,552"
17081,IL,"Jefferson County, IL","47,425"
17083,IL,"Jersey County, IL","59,117"
17085,IL,"Jo Daviess County, IL","56,832"
17087,IL,"Johnson County, IL","53,884"
17089,IL,"Kane County, IL","79,834"
17091,IL,"Kankakee County, IL","53,884"
17093,IL,"Kendall County, IL","93,345"
17095,IL,"Knox County, IL","44,553"
17097,IL,"Lake County, IL","87,336"
17099,IL,"LaSalle County, IL","54,063"
17101,IL,"Lawrence County, IL","43,767"
17103,IL,"Lee County, IL","54,915"
17105,IL,"Livingston County, IL","59,323"
17107,IL,"Logan County, IL","52,959"
17109,IL,"McDonough County, IL","42,887"
17111,IL,"McHenry County, IL","86,268"
17113,IL,"McLean County, IL","67,087"
17115,IL,"Macon County, IL","50,684"
17117,IL,"Macoupin County, IL","53,409"
17119,IL,"Madison County, IL","60,121"
17121,IL,"Marion County, IL","46,096"
17123,IL,"Marshall County, IL","57,422"
17125,IL,"Mason County, IL","48,764"
17127,IL,"Massac County, IL","43,783"
17129,IL,"Menard County, IL","74,872"
17131,IL,"Mercer County, IL","58,384"
17133,IL,"Monroe County, IL","88,481"
17135,IL,"Montgomery County, IL","53,138"
17137,IL,"Morgan County, IL","48,976"
17139,IL,"Moultrie County, IL","59,901"
17141,IL,"Ogle County, IL","61,794"
17143,IL,"Peoria County, IL","56,478"
17145,IL,"Perry County, IL","49,965"
17147,IL,"Piatt County, IL","67,460"
17149,IL,"Pike County, IL","47,815"
17151,IL,"Pope County, IL","43,053"
17153,IL,"Pulaski County, IL","38,400"
17155,IL,"Putnam County, IL","66,319"
17157,IL,"Randolph County, IL","53,607"
17159,IL,"Richland County, IL","48,152"
17161,IL,"Rock Island County, IL","52,642"
17163,IL,"St. Clair County, IL","58,222"
17165,IL,"Saline County, IL","40,761"
17167,IL,"Sangamon County, IL","62,242"
17169,IL,"Schuyler County, IL","52,018"
17171,IL,"Scott County, IL","55,198"
17173,IL,"Shelby County, IL","56,509"
17175,IL,"Stark County, IL","52,651"
17177,IL,"Stephenson County, IL","47,357"
17179,IL,"Tazewell County, IL","61,508"
17181,IL,"Union County, IL","49,716"
17183,IL,"Vermilion County, IL","44,638"
17185,IL,"Wabash County, IL","53,414"
17187,IL,"Warren County, IL","53,532"
17189,IL,"Washington County, IL","66,937"
17191,IL,"Wayne County, IL","50,471"
17193,IL,"White County, IL","49,507"
17195,IL,"Whiteside County, IL","57,197"
17197,IL,"Will County, IL","86,108"
17199,IL,"Williamson County, IL","46,187"
17201,IL,"Winnebago County, IL","53,795"
17203,IL,"Woodford County, IL","72,247"
18000,IN,Indiana,"55,725"
18001,IN,"Adams County, IN","56,693"
18003,IN,"Allen County, IN","54,473"
18005,IN,"Bartholomew County, IN","63,067"
18007,IN,"Benton County, IN","51,649"
18009,IN,"Blackford County, IN","45,161"
18011,IN,"Boone County, IN","85,876"
18013,IN,"Brown County, IN","60,944"
18015,IN,"Carroll County, IN","57,092"
18017,IN,"Cass County, IN","48,598"
18019,IN,"Clark County, IN","56,774"
18021,IN,"Clay County, IN","52,699"
18023,IN,"Clinton County, IN","51,730"
18025,IN,"Crawford County, IN","44,152"
18027,IN,"Daviess County, IN","55,434"
18029,IN,"Dearborn County, IN","66,502"
18031,IN,"Decatur County, IN","57,441"
18033,IN,"DeKalb County, IN","58,987"
18035,IN,"Delaware County, IN","43,096"
18037,IN,"Dubois County, IN","62,126"
18039,IN,"Elkhart County, IN","59,251"
18041,IN,"Fayette County, IN","47,737"
18043,IN,"Floyd County, IN","64,992"
18045,IN,"Fountain County, IN","53,493"
18047,IN,"Franklin County, IN","62,251"
18049,IN,"Fulton County, IN","52,798"
18051,IN,"Gibson County, IN","56,960"
18053,IN,"Grant County, IN","45,138"
18055,IN,"Greene County, IN","46,835"
18057,IN,"Hamilton County, IN","101,740"
18059,IN,"Hancock County, IN","73,831"
18061,IN,"Harrison County, IN","60,379"
18063,IN,"Hendricks County, IN","80,834"
18065,IN,"Henry County, IN","50,183"
18067,IN,"Howard County, IN","55,365"
18069,IN,"Huntington County, IN","53,809"
18071,IN,"Jackson County, IN","55,518"
18073,IN,"Jasper County, IN","66,720"
18075,IN,"Jay County, IN","48,392"
18077,IN,"Jefferson County, IN","51,031"
18079,IN,"Jennings County, IN","51,560"
18081,IN,"Johnson County, IN","69,880"
18083,IN,"Knox County, IN","48,606"
18085,IN,"Kosciusko County, IN","57,367"
18087,IN,"LaGrange County, IN","67,498"
18089,IN,"Lake County, IN","55,280"
18091,IN,"LaPorte County, IN","52,095"
18093,IN,"Lawrence County, IN","53,187"
18095,IN,"Madison County, IN","49,522"
18097,IN,"Marion County, IN","48,409"
18099,IN,"Marshall County, IN","55,766"
18101,IN,"Martin County, IN","55,444"
18103,IN,"Miami County, IN","47,624"
18105,IN,"Monroe County, IN","48,883"
18107,IN,"Montgomery County, IN","53,700"
18109,IN,"Morgan County, IN","66,151"
18111,IN,"Newton County, IN","53,060"
18113,IN,"Noble County, IN","61,341"
18115,IN,"Ohio County, IN","58,022"
18117,IN,"Orange County, IN","44,968"
18119,IN,"Owen County, IN","49,731"
18121,IN,"Parke County, IN","49,639"
18123,IN,"Perry County, IN","52,332"
18125,IN,"Pike County, IN","54,265"
18127,IN,"Porter County, IN","69,298"
18129,IN,"Posey County, IN","68,162"
18131,IN,"Pulaski County, IN","49,730"
18133,IN,"Putnam County, IN","54,718"
18135,IN,"Randolph County, IN","46,441"
18137,IN,"Ripley County, IN","57,436"
18139,IN,"Rush County, IN","53,271"
18141,IN,"St. Joseph County, IN","54,674"
18143,IN,"Scott County, IN","44,913"
18145,IN,"Shelby County, IN","57,193"
18147,IN,"Spencer County, IN","56,862"
18149,IN,"Starke County, IN","49,972"
18151,IN,"Steuben County, IN","58,295"
18153,IN,"Sullivan County, IN","47,554"
18155,IN,"Switzerland County, IN","47,713"
18157,IN,"Tippecanoe County, IN","52,269"
18159,IN,"Tipton County, IN","60,896"
18161,IN,"Union County, IN","50,300"
18163,IN,"Vanderburgh County, IN","50,500"
18165,IN,"Vermillion County, IN","49,287"
18167,IN,"Vigo County, IN","48,335"
18169,IN,"Wabash County, IN","51,487"
18171,IN,"Warren County, IN","60,596"
18173,IN,"Warrick County, IN","75,534"
18175,IN,"Washington County, IN","44,534"
18177,IN,"Wayne County, IN","45,130"
18179,IN,"Wells County, IN","60,010"
18181,IN,"White County, IN","58,380"
18183,IN,"Whitley County, IN","67,758"
19000,IA,Iowa,"60,071"
19001,IA,"Adair County, IA","54,282"
19003,IA,"Adams County, IA","51,577"
19005,IA,"Allamakee County, IA","53,359"
19007,IA,"Appanoose County, IA","44,298"
19009,IA,"Audubon County, IA","51,210"
19011,IA,"Benton County, IA","62,799"
19013,IA,"Black Hawk County, IA","52,320"
19015,IA,"Boone County, IA","63,099"
19017,IA,"Bremer County, IA","74,646"
19019,IA,"Buchanan County, IA","59,724"
19021,IA,"Buena Vista County, IA","52,683"
19023,IA,"Butler County, IA","57,971"
19025,IA,"Calhoun County, IA","54,865"
19027,IA,"Carroll County, IA","60,531"
19029,IA,"Cass County, IA","50,356"
19031,IA,"Cedar County, IA","67,597"
19033,IA,"Cerro Gordo County, IA","51,939"
19035,IA,"Cherokee County, IA","56,312"
19037,IA,"Chickasaw County, IA","64,190"
19039,IA,"Clarke County, IA","52,541"
19041,IA,"Clay County, IA","56,338"
19043,IA,"Clayton County, IA","53,968"
19045,IA,"Clinton County, IA","51,317"
19047,IA,"Crawford County, IA","54,828"
19049,IA,"Dallas County, IA","87,267"
19051,IA,"Davis County, IA","54,830"
19053,IA,"Decatur County, IA","41,101"
19055,IA,"Delaware County, IA","61,342"
19057,IA,"Des Moines County, IA","51,805"
19059,IA,"Dickinson County, IA","55,603"
19061,IA,"Dubuque County, IA","60,367"
19063,IA,"Emmet County, IA","51,497"
19065,IA,"Fayette County, IA","50,893"
19067,IA,"Floyd County, IA","53,811"
19069,IA,"Franklin County, IA","59,367"
19071,IA,"Fremont County, IA","54,658"
19073,IA,"Greene County, IA","51,861"
19075,IA,"Grundy County, IA","65,060"
19077,IA,"Guthrie County, IA","60,306"
19079,IA,"Hamilton County, IA","56,738"
19081,IA,"Hancock County, IA","60,859"
19083,IA,"Hardin County, IA","55,303"
19085,IA,"Harrison County, IA","60,044"
19087,IA,"Henry County, IA","55,856"
19089,IA,"Howard County, IA","53,500"
19091,IA,"Humboldt County, IA","60,166"
19093,IA,"Ida County, IA","60,312"
19095,IA,"Iowa County, IA","64,188"
19097,IA,"Jackson County, IA","54,663"
19099,IA,"Jasper County, IA","60,378"
19101,IA,"Jefferson County, IA","46,715"
19103,IA,"Johnson County, IA","64,387"
19105,IA,"Jones County, IA","55,405"
19107,IA,"Keokuk County, IA","52,122"
19109,IA,"Kossuth County, IA","55,486"
19111,IA,"Lee County, IA","48,241"
19113,IA,"Linn County, IA","64,878"
19115,IA,"Louisa County, IA","49,585"
19117,IA,"Lucas County, IA","49,956"
19119,IA,"Lyon County, IA","69,048"
19121,IA,"Madison County, IA","74,794"
19123,IA,"Mahaska County, IA","56,492"
19125,IA,"Marion County, IA","63,491"
19127,IA,"Marshall County, IA","59,552"
19129,IA,"Mills County, IA","64,271"
19131,IA,"Mitchell County, IA","59,558"
19133,IA,"Monona County, IA","50,530"
19135,IA,"Monroe County, IA","56,541"
19137,IA,"Montgomery County, IA","49,966"
19139,IA,"Muscatine County, IA","58,465"
19141,IA,"O'Brien County, IA","53,147"
19143,IA,"Osceola County, IA","60,627"
19145,IA,"Page County, IA","54,313"
19147,IA,"Palo Alto County, IA","55,322"
19149,IA,"Plymouth County, IA","66,360"
19151,IA,"Pocahontas County, IA","55,865"
19153,IA,"Polk County, IA","68,479"
19155,IA,"Pottawattamie County, IA","56,337"
19157,IA,"Poweshiek County, IA","56,170"
19159,IA,"Ringgold County, IA","48,754"
19161,IA,"Sac County, IA","56,698"
19163,IA,"Scott County, IA","59,865"
19165,IA,"Shelby County, IA","58,862"
19167,IA,"Sioux County, IA","70,162"
19169,IA,"Story County, IA","57,464"
19171,IA,"Tama County, IA","56,954"
19173,IA,"Taylor County, IA","47,781"
19175,IA,"Union County, IA","49,887"
19177,IA,"Van Buren County, IA","47,905"
19179,IA,"Wapello County, IA","48,226"
19181,IA,"Warren County, IA","78,192"
19183,IA,"Washington County, IA","65,849"
19185,IA,"Wayne County, IA","46,725"
19187,IA,"Webster County, IA","52,093"
19189,IA,"Winnebago County, IA","54,433"
19191,IA,"Winneshiek County, IA","61,807"
19193,IA,"Woodbury County, IA","60,059"
19195,IA,"Worth County, IA","58,587"
19197,IA,"Wright County, IA","54,802"
20000,KS,Kansas,"58,150"
20001,KS,"Allen County, KS","44,423"
20003,KS,"Anderson County, KS","50,646"
20005,KS,"Atchison County, KS","49,332"
20007,KS,"Barber County, KS","47,634"
20009,KS,"Barton County, KS","49,991"
20011,KS,"Bourbon County, KS","41,807"
20013,KS,"Brown County, KS","47,529"
20015,KS,"Butler County, KS","65,953"
20017,KS,"Chase County, KS","50,981"
20019,KS,"Chautauqua County, KS","41,129"
20021,KS,"Cherokee County, KS","44,475"
20023,KS,"Cheyenne County, KS","43,274"
20025,KS,"Clark County, KS","51,235"
20027,KS,"Clay County, KS","52,681"
20029,KS,"Cloud County, KS","44,467"
20031,KS,"Coffey County, KS","58,371"
20033,KS,"Comanche County, KS","46,818"
20035,KS,"Cowley County, KS","47,864"
20037,KS,"Crawford County, KS","43,852"
20039,KS,"Decatur County, KS","44,774"
20041,KS,"Dickinson County, KS","50,605"
20043,KS,"Doniphan County, KS","50,949"
20045,KS,"Douglas County, KS","57,120"
20047,KS,"Edwards County, KS","46,962"
20049,KS,"Elk County, KS","37,360"
20051,KS,"Ellis County, KS","53,840"
20053,KS,"Ellsworth County, KS","50,261"
20055,KS,"Finney County, KS","56,206"
20057,KS,"Ford County, KS","56,052"
20059,KS,"Franklin County, KS","58,033"
20061,KS,"Geary County, KS","50,856"
20063,KS,"Gove County, KS","49,626"
20065,KS,"Graham County, KS","41,906"
20067,KS,"Grant County, KS","61,614"
20069,KS,"Gray County, KS","65,771"
20071,KS,"Greeley County, KS","51,606"
20073,KS,"Greenwood County, KS","43,083"
20075,KS,"Hamilton County, KS","51,559"
20077,KS,"Harper County, KS","45,570"
20079,KS,"Harvey County, KS","57,934"
20081,KS,"Haskell County, KS","60,808"
20083,KS,"Hodgeman County, KS","54,058"
20085,KS,"Jackson County, KS","56,330"
20087,KS,"Jefferson County, KS","69,246"
20089,KS,"Jewell County, KS","44,271"
20091,KS,"Johnson County, KS","87,087"
20093,KS,"Kearny County, KS","63,248"
20095,KS,"Kingman County, KS","56,005"
20097,KS,"Kiowa County, KS","64,399"
20099,KS,"Labette County, KS","44,571"
20101,KS,"Lane County, KS","59,240"
20103,KS,"Leavenworth County, KS","70,807"
20105,KS,"Lincoln County, KS","44,439"
20107,KS,"Linn County, KS","47,153"
20109,KS,"Logan County, KS","50,267"
20111,KS,"Lyon County, KS","47,982"
20113,KS,"McPherson County, KS","58,017"
20115,KS,"Marion County, KS","51,712"
20117,KS,"Marshall County, KS","51,066"
20119,KS,"Meade County, KS","67,220"
20121,KS,"Miami County, KS","71,770"
20123,KS,"Mitchell County, KS","51,514"
20125,KS,"Montgomery County, KS","42,479"
20127,KS,"Morris County, KS","49,287"
20129,KS,"Morton County, KS","53,785"
20131,KS,"Nemaha County, KS","59,567"
20133,KS,"Neosho County, KS","46,176"
20135,KS,"Ness County, KS","51,757"
20137,KS,"Norton County, KS","47,252"
20139,KS,"Osage County, KS","53,864"
20141,KS,"Osborne County, KS","46,101"
20143,KS,"Ottawa County, KS","56,451"
20145,KS,"Pawnee County, KS","47,039"
20147,KS,"Phillips County, KS","47,405"
20149,KS,"Pottawatomie County, KS","69,975"
20151,KS,"Pratt County, KS","52,567"
20153,KS,"Rawlins County, KS","46,638"
20155,KS,"Reno County, KS","49,341"
20157,KS,"Republic County, KS","48,566"
20159,KS,"Rice County, KS","51,686"
20161,KS,"Riley County, KS","47,057"
20163,KS,"Rooks County, KS","47,365"
20165,KS,"Rush County, KS","44,121"
20167,KS,"Russell County, KS","45,879"
20169,KS,"Saline County, KS","53,961"
20171,KS,"Scott County, KS","63,790"
20173,KS,"Sedgwick County, KS","56,381"
20175,KS,"Seward County, KS","50,671"
20177,KS,"Shawnee County, KS","53,612"
20179,KS,"Sheridan County, KS","50,553"
20181,KS,"Sherman County, KS","45,966"
20183,KS,"Smith County, KS","41,899"
20185,KS,"Stafford County, KS","47,835"
20187,KS,"Stanton County, KS","60,136"
20189,KS,"Stevens County, KS","58,817"
20191,KS,"Sumner County, KS","56,946"
20193,KS,"Thomas County, KS","55,345"
20195,KS,"Trego County, KS","48,520"
20197,KS,"Wabaunsee County, KS","59,744"
20199,KS,"Wallace County, KS","51,350"
20201,KS,"Washington County, KS","48,104"
20203,KS,"Wichita County, KS","59,800"
20205,KS,"Wilson County, KS","45,697"
20207,KS,"Woodson County, KS","43,894"
20209,KS,"Wyandotte County, KS","47,084"
21000,KY,Kentucky,"50,189"
21001,KY,"Adair County, KY","37,392"
21003,KY,"Allen County, KY","44,624"
21005,KY,"Anderson County, KY","60,908"
21007,KY,"Ballard County, KY","47,658"
21009,KY,"Barren County, KY","42,439"
21011,KY,"Bath County, KY","44,183"
21013,KY,"Bell County, KY","29,362"
21015,KY,"Boone County, KY","77,696"
21017,KY,"Bourbon County, KY","48,614"
21019,KY,"Boyd County, KY","48,020"
21021,KY,"Boyle County, KY","47,528"
21023,KY,"Bracken County, KY","56,432"
21025,KY,"Breathitt County, KY","31,182"
21027,KY,"Breckinridge County, KY","47,284"
21029,KY,"Bullitt County, KY","61,022"
21031,KY,"Butler County, KY","43,048"
21033,KY,"Caldwell County, KY","43,659"
21035,KY,"Calloway County, KY","41,873"
21037,KY,"Campbell County, KY","60,904"
21039,KY,"Carlisle County, KY","41,249"
21041,KY,"Carroll County, KY","47,623"
21043,KY,"Carter County, KY","32,906"
21045,KY,"Casey County, KY","34,358"
21047,KY,"Christian County, KY","40,299"
21049,KY,"Clark County, KY","50,162"
21051,KY,"Clay County, KY","28,146"
21053,KY,"Clinton County, KY","31,118"
21055,KY,"Crittenden County, KY","43,624"
21057,KY,"Cumberland County, KY","33,541"
21059,KY,"Daviess County, KY","51,441"
21061,KY,"Edmonson County, KY","43,151"
21063,KY,"Elliott County, KY","35,446"
21065,KY,"Estill County, KY","35,701"
21067,KY,"Fayette County, KY","55,358"
21069,KY,"Fleming County, KY","42,571"
21071,KY,"Floyd County, KY","33,218"
21073,KY,"Franklin County, KY","53,134"
21075,KY,"Fulton County, KY","32,355"
21077,KY,"Gallatin County, KY","49,060"
21079,KY,"Garrard County, KY","51,203"
21081,KY,"Grant County, KY","53,965"
21083,KY,"Graves County, KY","46,785"
21085,KY,"Grayson County, KY","40,780"
21087,KY,"Green County, KY","36,782"
21089,KY,"Greenup County, KY","49,457"
21091,KY,"Hancock County, KY","56,769"
21093,KY,"Hardin County, KY","52,278"
21095,KY,"Harlan County, KY","29,521"
21097,KY,"Harrison County, KY","51,709"
21099,KY,"Hart County, KY","37,038"
21101,KY,"Henderson County, KY","51,161"
21103,KY,"Henry County, KY","53,405"
21105,KY,"Hickman County, KY","44,290"
21107,KY,"Hopkins County, KY","45,512"
21109,KY,"Jackson County, KY","35,317"
21111,KY,"Jefferson County, KY","55,860"
21113,KY,"Jessamine County, KY","59,443"
21115,KY,"Johnson County, KY","39,381"
21117,KY,"Kenton County, KY","64,644"
21119,KY,"Knott County, KY","32,228"
21121,KY,"Knox County, KY","30,742"
21123,KY,"Larue County, KY","45,458"
21125,KY,"Laurel County, KY","41,425"
21127,KY,"Lawrence County, KY","36,667"
21129,KY,"Lee County, KY","29,124"
21131,KY,"Leslie County, KY","31,921"
21133,KY,"Letcher County, KY","32,321"
21135,KY,"Lewis County, KY","35,751"
21137,KY,"Lincoln County, KY","42,190"
21139,KY,"Livingston County, KY","48,182"
21141,KY,"Logan County, KY","46,742"
21143,KY,"Lyon County, KY","48,395"
21145,KY,"McCracken County, KY","48,950"
21147,KY,"McCreary County, KY","30,029"
21149,KY,"McLean County, KY","48,080"
21151,KY,"Madison County, KY","51,897"
21153,KY,"Magoffin County, KY","30,950"
21155,KY,"Marion County, KY","45,661"
21157,KY,"Marshall County, KY","52,388"
21159,KY,"Martin County, KY","28,925"
21161,KY,"Mason County, KY","41,807"
21163,KY,"Meade County, KY","57,613"
21165,KY,"Menifee County, KY","34,002"
21167,KY,"Mercer County, KY","53,921"
21169,KY,"Metcalfe County, KY","35,906"
21171,KY,"Monroe County, KY","35,596"
21173,KY,"Montgomery County, KY","46,629"
21175,KY,"Morgan County, KY","35,848"
21177,KY,"Muhlenberg County, KY","43,722"
21179,KY,"Nelson County, KY","55,602"
21181,KY,"Nicholas County, KY","41,428"
21183,KY,"Ohio County, KY","44,751"
21185,KY,"Oldham County, KY","102,136"
21187,KY,"Owen County, KY","48,998"
21189,KY,"Owsley County, KY","26,278"
21191,KY,"Pendleton County, KY","54,583"
21193,KY,"Perry County, KY","33,108"
21195,KY,"Pike County, KY","37,124"
21197,KY,"Powell County, KY","37,776"
21199,KY,"Pulaski County, KY","41,541"
21201,KY,"Robertson County, KY","45,146"
21203,KY,"Rockcastle County, KY","37,732"
21205,KY,"Rowan County, KY","41,196"
21207,KY,"Russell County, KY","34,648"
21209,KY,"Scott County, KY","73,500"
21211,KY,"Shelby County, KY","66,056"
21213,KY,"Simpson County, KY","51,769"
21215,KY,"Spencer County, KY","85,899"
21217,KY,"Taylor County, KY","45,429"
21219,KY,"Todd County, KY","51,027"
21221,KY,"Trigg County, KY","49,767"
21223,KY,"Trimble County, KY","51,674"
21225,KY,"Union County, KY","47,067"
21227,KY,"Warren County, KY","53,478"
21229,KY,"Washington County, KY","50,246"
21231,KY,"Wayne County, KY","33,701"
21233,KY,"Webster County, KY","47,132"
21235,KY,"Whitley County, KY","36,863"
21237,KY,"Wolfe County, KY","30,144"
21239,KY,"Woodford County, KY","66,164"
22000,LA,Louisiana,"48,021"
22001,LA,"Acadia Parish, LA","40,484"
22003,LA,"Allen Parish, LA","44,395"
22005,LA,"Ascension Parish, LA","77,758"
22007,LA,"Assumption Parish, LA","48,120"
22009,LA,"Avoyelles Parish, LA","37,731"
22011,LA,"Beauregard Parish, LA","57,005"
22013,LA,"Bienville Parish, LA","34,047"
22015,LA,"Bossier Parish, LA","56,754"
22017,LA,"Caddo Parish, LA","40,467"
22019,LA,"Calcasieu Parish, LA","50,531"
22021,LA,"Caldwell Parish, LA","40,842"
22023,LA,"Cameron Parish, LA","57,299"
22025,LA,"Catahoula Parish, LA","35,812"
22027,LA,"Claiborne Parish, LA","33,659"
22029,LA,"Concordia Parish, LA","35,840"
22031,LA,"De Soto Parish, LA","44,457"
22033,LA,"East Baton Rouge Parish, LA","52,945"
22035,LA,"East Carroll Parish, LA","27,714"
22037,LA,"East Feliciana Parish, LA","45,174"
22039,LA,"Evangeline Parish, LA","34,113"
22041,LA,"Franklin Parish, LA","34,446"
22043,LA,"Grant Parish, LA","43,502"
22045,LA,"Iberia Parish, LA","42,909"
22047,LA,"Iberville Parish, LA","47,917"
22049,LA,"Jackson Parish, LA","40,828"
22051,LA,"Jefferson Parish, LA","50,871"
22053,LA,"Jefferson Davis Parish, LA","44,492"
22055,LA,"Lafayette Parish, LA","57,821"
22057,LA,"Lafourche Parish, LA","52,651"
22059,LA,"LaSalle Parish, LA","45,742"
22061,LA,"Lincoln Parish, LA","36,525"
22063,LA,"Livingston Parish, LA","63,088"
22065,LA,"Madison Parish, LA","28,452"
22067,LA,"Morehouse Parish, LA","34,023"
22069,LA,"Natchitoches Parish, LA","36,298"
22071,LA,"Orleans Parish, LA","38,855"
22073,LA,"Ouachita Parish, LA","44,371"
22075,LA,"Plaquemines Parish, LA","58,643"
22077,LA,"Pointe Coupee Parish, LA","46,603"
22079,LA,"Rapides Parish, LA","48,116"
22081,LA,"Red River Parish, LA","36,865"
22083,LA,"Richland Parish, LA","35,103"
22085,LA,"Sabine Parish, LA","36,423"
22087,LA,"St. Bernard Parish, LA","43,983"
22089,LA,"St. Charles Parish, LA","67,585"
22091,LA,"St. Helena Parish, LA","38,699"
22093,LA,"St. James Parish, LA","53,903"
22095,LA,"St. John the Baptist Parish, LA","50,830"
22097,LA,"St. Landry Parish, LA","36,624"
22099,LA,"St. Martin Parish, LA","46,229"
22101,LA,"St. Mary Parish, LA","39,764"
22103,LA,"St. Tammany Parish, LA","67,054"
22105,LA,"Tangipahoa Parish, LA","47,128"
22107,LA,"Tensas Parish, LA","28,962"
22109,LA,"Terrebonne Parish, LA","51,665"
22111,LA,"Union Parish, LA","43,584"
22113,LA,"Vermilion Parish, LA","48,263"
22115,LA,"Vernon Parish, LA","47,664"
22117,LA,"Washington Parish, LA","36,850"
22119,LA,"Webster Parish, LA","35,070"
22121,LA,"West Baton Rouge Parish, LA","58,205"
22123,LA,"West Carroll Parish, LA","39,332"
22125,LA,"West Feliciana Parish, LA","60,296"
22127,LA,"Winn Parish, LA","40,133"
23000,ME,Maine,"55,579"
23001,ME,"Androscoggin County, ME","49,935"
23003,ME,"Aroostook County, ME","39,450"
23005,ME,"Cumberland County, ME","71,586"
23007,ME,"Franklin County, ME","49,561"
23009,ME,"Hancock County, ME","52,148"
23011,ME,"Kennebec County, ME","52,154"
23013,ME,"Knox County, ME","56,678"
23015,ME,"Lincoln County, ME","56,211"
23017,ME,"Oxford County, ME","44,243"
23019,ME,"Penobscot County, ME","47,840"
23021,ME,"Piscataquis County, ME","40,066"
23023,ME,"Sagadahoc County, ME","65,969"
23025,ME,"Somerset County, ME","43,755"
23027,ME,"Waldo County, ME","49,482"
23029,ME,"Washington County, ME","39,522"
23031,ME,"York County, ME","65,984"
24000,MD,Maryland,"83,076"
24001,MD,"Allegany County, MD","43,535"
24003,MD,"Anne Arundel County, MD","97,051"
24005,MD,"Baltimore County, MD","75,836"
24009,MD,"Calvert County, MD","106,270"
24011,MD,"Caroline County, MD","56,627"
24013,MD,"Carroll County, MD","95,956"
24015,MD,"Cecil County, MD","72,739"
24017,MD,"Charles County, MD","92,616"
24019,MD,"Dorchester County, MD","48,682"
24021,MD,"Frederick County, MD","95,196"
24023,MD,"Garrett County, MD","49,147"
24025,MD,"Harford County, MD","87,959"
24027,MD,"Howard County, MD","116,719"
24029,MD,"Kent County, MD","55,514"
24031,MD,"Montgomery County, MD","107,758"
24033,MD,"Prince George's County, MD","82,445"
24035,MD,"Queen Anne's County, MD","93,751"
24037,MD,"St. Mary's County, MD","89,964"
24039,MD,"Somerset County, MD","42,098"
24041,MD,"Talbot County, MD","64,245"
24043,MD,"Washington County, MD","62,556"
24045,MD,"Wicomico County, MD","54,313"
24047,MD,"Worcester County, MD","59,266"
24510,MD,"Baltimore city, MD","50,501"
25000,MA,Massachusetts,"79,817"
25001,MA,"Barnstable County, MA","69,001"
25003,MA,"Berkshire County, MA","58,375"
25005,MA,"Bristol County, MA","66,005"
25007,MA,"Dukes County, MA","70,224"
25009,MA,"Essex County, MA","76,373"
25011,MA,"Franklin County, MA","58,992"
25013,MA,"Hampden County, MA","52,682"
25015,MA,"Hampshire County, MA","74,456"
25017,MA,"Middlesex County, MA","100,374"
25019,MA,"Nantucket County/town, MA","97,525"
25021,MA,"Norfolk County, MA","100,184"
25023,MA,"Plymouth County, MA","89,678"
25025,MA,"Suffolk County, MA","68,743"
25027,MA,"Worcester County, MA","71,767"
26000,MI,Michigan,"56,640"
26001,MI,"Alcona County, MI","39,862"
26003,MI,"Alger County, MI","47,441"
26005,MI,"Allegan County, MI","62,247"
26007,MI,"Alpena County, MI","42,792"
26009,MI,"Antrim County, MI","56,456"
26011,MI,"Arenac County, MI","42,540"
26013,MI,"Baraga County, MI","43,435"
26015,MI,"Barry County, MI","64,121"
26017,MI,"Bay County, MI","50,576"
26019,MI,"Benzie County, MI","51,905"
26021,MI,"Berrien County, MI","51,509"
26023,MI,"Branch County, MI","50,477"
26025,MI,"Calhoun County, MI","48,413"
26027,MI,"Cass County, MI","55,978"
26029,MI,"Charlevoix County, MI","54,491"
26031,MI,"Cheboygan County, MI","48,589"
26033,MI,"Chippewa County, MI","47,380"
26035,MI,"Clare County, MI","39,394"
26037,MI,"Clinton County, MI","70,967"
26039,MI,"Crawford County, MI","46,930"
26041,MI,"Delta County, MI","49,292"
26043,MI,"Dickinson County, MI","52,348"
26045,MI,"Eaton County, MI","66,716"
26047,MI,"Emmet County, MI","58,891"
26049,MI,"Genesee County, MI","48,370"
26051,MI,"Gladwin County, MI","44,635"
26053,MI,"Gogebic County, MI","39,934"
26055,MI,"Grand Traverse County, MI","64,591"
26057,MI,"Gratiot County, MI","48,988"
26059,MI,"Hillsdale County, MI","50,388"
26061,MI,"Houghton County, MI","42,282"
26063,MI,"Huron County, MI","45,817"
26065,MI,"Ingham County, MI","52,837"
26067,MI,"Ionia County, MI","61,667"
26069,MI,"Iosco County, MI","41,256"
26071,MI,"Iron County, MI","40,959"
26073,MI,"Isabella County, MI","47,056"
26075,MI,"Jackson County, MI","52,047"
26077,MI,"Kalamazoo County, MI","55,881"
26079,MI,"Kalkaska County, MI","46,068"
26081,MI,"Kent County, MI","61,675"
26083,MI,"Keweenaw County, MI","51,641"
26085,MI,"Lake County, MI","36,044"
26087,MI,"Lapeer County, MI","65,209"
26089,MI,"Leelanau County, MI","67,349"
26091,MI,"Lenawee County, MI","55,762"
